game_name,game_genres
RimWorld,Simulator
Super Smash Bros. Ultimate,Platform
Tibia,Adventure
HELLDIVERS 2,Shooter
Sea of Thieves,Adventure
Genshin Impact,Adventure
Sketchy's Contract,Indie
Old School RuneScape,Adventure
Rocket League,Sport
Midnight Monitor: Aldercourt,Indie
F1 23,Simulator
Red Dead Redemption 2,Role-playing (RPG)
ARK: Survival Ascended,Adventure
StarCraft II,Strategy
Fallout: New Vegas,Role-playing (RPG)
EVE Online,Strategy
State of Decay 2,Simulator
Reksio i Skarb Piratów,Simulator
ROBLOX,Simulator
Manor Lords,Strategy
Star Citizen,Role-playing (RPG)
DayZ,Role-playing (RPG)
Yu-Gi-Oh! TRADING CARD GAME,Strategy
World of Warships,Real Time Strategy (RTS)
Loathful,Indie
iRacing,Simulator
Hunt: Showdown,Simulator
SMITE,Role-playing (RPG)
SCUM,Indie
Metin2,Adventure
Honkai: Star Rail,Turn-based strategy (TBS)
I'm Only Sleeping,Adventure
Magic: The Gathering,Card & Board Game
Just Chatting,Adventure
League of Legends,MOBA
Grand Theft Auto V,Adventure
Rust,Adventure
VALORANT,MOBA
Teamfight Tactics,Tactical
ELDEN RING,Fantasy
Trials Rising,Sport
World of Tanks,Strategy
Hearthstone,Card & Board Game
Escape from Tarkov,Simulator
Destiny 2,Adventure
Lost Ark,Adventure
Noita,Simulator
Path of Exile,Adventure
Brawlhalla,Indie
PUBG: BATTLEGROUNDS,MOBA
UNDERTALE,Adventure
Black Desert,Adventure
Stardew Valley,Strategy
Brawl Stars,MOBA
Cursorblade,Arcade
RimWorld,Strategy
Rocket League,Indie
F1 23,Sport
Red Dead Redemption 2,Adventure
ARK: Survival Ascended,Role-playing (RPG)
EVE Online,Simulator
Reksio i Skarb Piratów,Role-playing (RPG)
ROBLOX,Role-playing (RPG)
Star Citizen,Simulator
DayZ,Simulator
World of Warships,Simulator
iRacing,Sport
SMITE,Strategy
Honkai: Star Rail,Adventure
Grand Theft Auto V,Hack and slash/Beat 'em up
Rust,Indie
Teamfight Tactics,Card & Board Game
Trials Rising,Arcade
World of Tanks,Arcade
Escape from Tarkov,Tactical
Noita,Adventure
Brawlhalla,Arcade
Stardew Valley,Indie
RimWorld,Indie
ARK: Survival Ascended,indie
Star Citizen,Adventure
DayZ,Tactical
World of Warships,Tactical
SMITE,MOBA
Noita,Indie
Star Citizen,Indie
DayZ,Adventure
