timestamp,hourly_channels,hourly_viewership,channels_change,viewership_change,game_name
2024-04-19 04:00:00+00:00,1,30,0.0,-259.0,Anime Squad
2024-04-19 05:00:00+00:00,5,191,4.0,161.0,Anime Squad
2024-04-19 06:00:00+00:00,0,0,-5.0,-191.0,Anime Squad
2024-04-19 07:00:00+00:00,0,0,0.0,0.0,Anime Squad
2024-04-19 08:00:00+00:00,1,43,1.0,43.0,Anime Squad
2024-04-19 09:00:00+00:00,2,54,1.0,11.0,Anime Squad
2024-04-19 10:00:00+00:00,0,0,-2.0,-54.0,Anime Squad
2024-04-19 11:00:00+00:00,3,407,3.0,407.0,Anime Squad
2024-04-19 12:00:00+00:00,0,0,-3.0,-407.0,Anime Squad
2024-04-19 13:00:00+00:00,0,0,0.0,0.0,Anime Squad
2024-04-19 14:00:00+00:00,2,33,2.0,33.0,Anime Squad
2024-04-19 15:00:00+00:00,4,76,2.0,43.0,Anime Squad
2024-04-19 16:00:00+00:00,2,14,-2.0,-62.0,Anime Squad
2024-04-19 17:00:00+00:00,1,19,-1.0,5.0,Anime Squad
2024-04-19 18:00:00+00:00,5,100,4.0,81.0,Anime Squad
2024-04-19 19:00:00+00:00,0,0,-5.0,-100.0,Anime Squad
2024-04-19 20:00:00+00:00,2,53,2.0,53.0,Anime Squad
2024-04-19 21:00:00+00:00,2,121,0.0,68.0,Anime Squad
2024-04-19 22:00:00+00:00,0,0,-2.0,-121.0,Anime Squad
2024-04-19 23:00:00+00:00,2,381,2.0,381.0,Anime Squad
2024-04-20 00:00:00+00:00,1,168,-1.0,-213.0,Anime Squad
2024-04-20 01:00:00+00:00,3,55,2.0,-113.0,Anime Squad
2024-04-20 02:00:00+00:00,1,35,-2.0,-20.0,Anime Squad
2024-04-20 03:00:00+00:00,0,0,-1.0,-35.0,Anime Squad
2024-04-20 04:00:00+00:00,0,0,0.0,0.0,Anime Squad
2024-04-20 05:00:00+00:00,0,0,0.0,0.0,Anime Squad
2024-04-20 06:00:00+00:00,2,10,2.0,10.0,Anime Squad
2024-04-20 07:00:00+00:00,1,37,-1.0,27.0,Anime Squad
2024-04-20 08:00:00+00:00,2,42,1.0,5.0,Anime Squad
2024-04-20 09:00:00+00:00,2,26,0.0,-16.0,Anime Squad
2024-04-20 10:00:00+00:00,3,330,1.0,304.0,Anime Squad
2024-04-20 11:00:00+00:00,5,283,2.0,-47.0,Anime Squad
2024-04-20 12:00:00+00:00,0,0,-5.0,-283.0,Anime Squad
2024-04-20 13:00:00+00:00,3,428,3.0,428.0,Anime Squad
2024-04-20 14:00:00+00:00,7,209,4.0,-219.0,Anime Squad
2024-04-20 15:00:00+00:00,3,408,-4.0,199.0,Anime Squad
2024-04-20 16:00:00+00:00,9,385,6.0,-23.0,Anime Squad
2024-04-20 17:00:00+00:00,7,250,-2.0,-135.0,Anime Squad
2024-04-20 18:00:00+00:00,8,155,1.0,-95.0,Anime Squad
2024-04-20 19:00:00+00:00,3,243,-5.0,88.0,Anime Squad
2024-04-20 05:00:00+00:00,1,103,,,Apex Legends
2024-04-20 06:00:00+00:00,0,0,-1.0,-103.0,Apex Legends
2024-04-20 07:00:00+00:00,0,0,0.0,0.0,Apex Legends
2024-04-20 08:00:00+00:00,0,0,0.0,0.0,Apex Legends
2024-04-20 09:00:00+00:00,0,0,0.0,0.0,Apex Legends
2024-04-20 10:00:00+00:00,2,1075,2.0,1075.0,Apex Legends
2024-04-20 11:00:00+00:00,0,0,-2.0,-1075.0,Apex Legends
2024-04-20 12:00:00+00:00,5,440,5.0,440.0,Apex Legends
2024-04-20 13:00:00+00:00,3,252,-2.0,-188.0,Apex Legends
2024-04-20 14:00:00+00:00,9,1465,6.0,1213.0,Apex Legends
2024-04-20 15:00:00+00:00,9,3001,0.0,1536.0,Apex Legends
2024-04-20 16:00:00+00:00,12,1138,3.0,-1863.0,Apex Legends
2024-04-20 17:00:00+00:00,10,3715,-2.0,2577.0,Apex Legends
2024-04-20 18:00:00+00:00,20,5465,10.0,1750.0,Apex Legends
2024-04-20 19:00:00+00:00,19,5644,-1.0,179.0,Apex Legends
2024-04-19 15:00:00+00:00,1,1230,,,Art
2024-04-19 16:00:00+00:00,0,0,-1.0,-1230.0,Art
2024-04-19 17:00:00+00:00,1,34,1.0,34.0,Art
2024-04-19 18:00:00+00:00,0,0,-1.0,-34.0,Art
2024-04-19 19:00:00+00:00,0,0,0.0,0.0,Art
2024-04-19 20:00:00+00:00,0,0,0.0,0.0,Art
2024-04-19 21:00:00+00:00,0,0,0.0,0.0,Art
2024-04-19 22:00:00+00:00,0,0,0.0,0.0,Art
2024-04-19 23:00:00+00:00,0,0,0.0,0.0,Art
2024-04-20 00:00:00+00:00,0,0,0.0,0.0,Art
2024-04-20 01:00:00+00:00,0,0,0.0,0.0,Art
2024-04-20 02:00:00+00:00,0,0,0.0,0.0,Art
2024-04-20 03:00:00+00:00,0,0,0.0,0.0,Art
2024-04-20 04:00:00+00:00,0,0,0.0,0.0,Art
2024-04-20 05:00:00+00:00,0,0,0.0,0.0,Art
2024-04-20 06:00:00+00:00,0,0,0.0,0.0,Art
2024-04-20 07:00:00+00:00,0,0,0.0,0.0,Art
2024-04-20 08:00:00+00:00,1,46,1.0,46.0,Art
2024-04-20 09:00:00+00:00,0,0,-1.0,-46.0,Art
