game_name,timestamp,hourly_channels,hourly_viewership,views_per_channel
Apex Legends,2024-04-20 16:00:00+00:00,12,1138,94.833
Apex Legends,2024-04-20 17:00:00+00:00,10,3715,371.5
Apex Legends,2024-04-20 18:00:00+00:00,20,5465,273.25
Apex Legends,2024-04-20 19:00:00+00:00,19,5644,297.053
Art,2024-04-19 15:00:00+00:00,1,1230,1230.0
Art,2024-04-19 16:00:00+00:00,0,0,
Art,2024-04-19 17:00:00+00:00,1,34,34.0
Art,2024-04-19 18:00:00+00:00,0,0,
Art,2024-04-19 19:00:00+00:00,0,0,
Art,2024-04-19 20:00:00+00:00,0,0,
Art,2024-04-19 21:00:00+00:00,0,0,
Art,2024-04-19 22:00:00+00:00,0,0,
Art,2024-04-19 23:00:00+00:00,0,0,
Art,2024-04-20 00:00:00+00:00,0,0,
Art,2024-04-20 01:00:00+00:00,0,0,
Art,2024-04-20 02:00:00+00:00,0,0,
Art,2024-04-20 03:00:00+00:00,0,0,
Art,2024-04-20 04:00:00+00:00,0,0,
Art,2024-04-20 05:00:00+00:00,0,0,
Art,2024-04-20 06:00:00+00:00,0,0,
Art,2024-04-20 07:00:00+00:00,0,0,
Art,2024-04-20 08:00:00+00:00,1,46,46.0
Art,2024-04-20 09:00:00+00:00,0,0,
Art,2024-04-20 10:00:00+00:00,0,0,
Art,2024-04-20 11:00:00+00:00,0,0,
Art,2024-04-20 12:00:00+00:00,6,502,83.667
Art,2024-04-20 13:00:00+00:00,5,207,41.4
Art,2024-04-20 14:00:00+00:00,5,326,65.2
Art,2024-04-20 15:00:00+00:00,9,398,44.222
Art,2024-04-20 16:00:00+00:00,18,1559,86.611
Art,2024-04-20 17:00:00+00:00,19,886,46.632
Art,2024-04-20 18:00:00+00:00,22,1316,59.818
Art,2024-04-20 19:00:00+00:00,9,575,63.889
Baldur's Gate 3,2024-04-20 00:00:00+00:00,1,8,8.0
Baldur's Gate 3,2024-04-20 01:00:00+00:00,0,0,
Baldur's Gate 3,2024-04-20 02:00:00+00:00,0,0,
Baldur's Gate 3,2024-04-20 03:00:00+00:00,0,0,
Baldur's Gate 3,2024-04-20 04:00:00+00:00,0,0,
Baldur's Gate 3,2024-04-20 05:00:00+00:00,0,0,
Baldur's Gate 3,2024-04-20 06:00:00+00:00,1,6,6.0
Baldur's Gate 3,2024-04-20 07:00:00+00:00,0,0,
Baldur's Gate 3,2024-04-20 08:00:00+00:00,0,0,
Baldur's Gate 3,2024-04-20 09:00:00+00:00,1,10,10.0
Baldur's Gate 3,2024-04-20 10:00:00+00:00,2,25,12.5
Baldur's Gate 3,2024-04-20 11:00:00+00:00,0,0,
Baldur's Gate 3,2024-04-20 12:00:00+00:00,0,0,
Baldur's Gate 3,2024-04-20 13:00:00+00:00,4,38,9.5
Baldur's Gate 3,2024-04-20 14:00:00+00:00,8,896,112.0
Baldur's Gate 3,2024-04-20 15:00:00+00:00,5,242,48.4
Baldur's Gate 3,2024-04-20 16:00:00+00:00,18,376,20.889
Baldur's Gate 3,2024-04-20 17:00:00+00:00,27,368,13.63
Baldur's Gate 3,2024-04-20 18:00:00+00:00,20,2041,102.05
Baldur's Gate 3,2024-04-20 19:00:00+00:00,12,102,8.5
Black Desert,2024-04-18 20:00:00+00:00,1,191,191.0
Black Desert,2024-04-18 21:00:00+00:00,1,36,36.0
Black Desert,2024-04-18 22:00:00+00:00,1,162,162.0
Black Desert,2024-04-18 23:00:00+00:00,0,0,
Black Desert,2024-04-19 00:00:00+00:00,0,0,
Black Desert,2024-04-19 01:00:00+00:00,0,0,
Black Desert,2024-04-19 02:00:00+00:00,0,0,
Black Desert,2024-04-19 03:00:00+00:00,0,0,
Black Desert,2024-04-19 04:00:00+00:00,0,0,
Black Desert,2024-04-19 05:00:00+00:00,0,0,
Black Desert,2024-04-19 06:00:00+00:00,0,0,
Black Desert,2024-04-19 07:00:00+00:00,1,26,26.0
Black Desert,2024-04-19 08:00:00+00:00,0,0,
Black Desert,2024-04-19 09:00:00+00:00,1,24,24.0
Black Desert,2024-04-19 10:00:00+00:00,0,0,
Black Desert,2024-04-19 11:00:00+00:00,0,0,
Black Desert,2024-04-19 12:00:00+00:00,0,0,
Black Desert,2024-04-19 13:00:00+00:00,1,76,76.0
Black Desert,2024-04-19 14:00:00+00:00,0,0,
Black Desert,2024-04-19 15:00:00+00:00,0,0,
Black Desert,2024-04-19 16:00:00+00:00,0,0,
Black Desert,2024-04-19 17:00:00+00:00,0,0,
Black Desert,2024-04-19 18:00:00+00:00,0,0,
Black Desert,2024-04-19 19:00:00+00:00,1,17,17.0
Black Desert,2024-04-19 20:00:00+00:00,2,207,103.5
